A,B,C,D,E
  0.0,  9.3871295623617912e-01 , 6.0251320896826666e-02, 0.0000000000000000e+00 , 0.0000000000000000e+00
  1.0,  9.9498289690876207e-01 , 6.5307771416114213e-02, -1.9167200724237285e-01,	 1.2433378280459411e-02
 -1.0,  9.9498289690876207e-01 , 6.5307771416114213e-02, 1.9167200724237285e-01 , 1.2433378280459411e-02
  2.0,  1.0265349474513619e+00 , 7.2526579176213746e-02, -4.1340631101747505e-01,	 2.7899659328501025e-02
 -2.0,  1.0265349474513619e+00 , 7.2526579176213746e-02, 4.1340631101747505e-01 , 2.7899659328501025e-02
  3.0,  9.6235964599683488e-01 , 7.8646957330773079e-02, -6.2583786267299568e-01,	 4.4878884388296625e-02
 -3.0,  9.6235964599683488e-01 , 7.8646957330773079e-02, 6.2583786267299568e-01 , 4.4878884388296625e-02
  4.0,  7.9995372792554575e-01 , 8.6669353799114390e-02, -8.4391139985262054e-01,	 6.4060794528354226e-02
 -4.0,  7.9995372792554575e-01 , 8.6669353799114390e-02, 8.4391139985262054e-01 , 6.4060794528354226e-02
  5.0,  5.8390543391427829e-01 , 9.7743790565067185e-02, -9.9872693664098389e-01,	 8.4874274354920010e-02
 -5.0,  5.8390543391427829e-01 , 9.7743790565067185e-02, 9.9872693664098389e-01 , 8.4874274354920010e-02
  6.0,  3.4402356102377557e-01 , 1.1204127631271076e-01, -1.0666857851071034e+00,	 1.0642581622759509e-01
 -6.0,  3.4402356102377557e-01 , 1.1204127631271076e-01, 1.0666857851071034e+00 , 1.0642581622759509e-01
  7.0,  1.1644261866881524e-01 , 1.2965661240964391e-01, -1.0420079736760479e+00,	 1.2960755910964464e-01
 -7.0,  1.1644261866881524e-01 , 1.2965661240964391e-01, 1.0420079736760479e+00 , 1.2960755910964464e-01
  8.0,  -8.3071394786257788e-02, 1.4971675827618280e-01, -9.5467077471529527e-01,	 1.5433307590427417e-01
 -8.0,  -8.3071394786257788e-02, 1.4971675827618280e-01, 9.5467077471529527e-01 , 1.5433307590427417e-01
  9.0,  -2.6291233027835154e-01, 1.7635784514452765e-01, -8.5071511375016740e-01,	 1.8686941672387863e-01
 -9.0,  -2.6291233027835154e-01, 1.7635784514452765e-01, 8.5071511375016740e-01 , 1.8686941672387863e-01
 10.0,  -4.2352798900093902e-01, 2.1174441466957061e-01, -7.3004963041063409e-01,	 2.2872090584772289e-01
-10.0,  -4.2352798900093902e-01, 2.1174441466957061e-01, 7.3004963041063409e-01 , 2.2872090584772289e-01
 11.0,  -5.3388774080825974e-01, 2.5206732178000585e-01, -5.6043653192571530e-01,	 2.7363692135849171e-01
-11.0,  -5.3388774080825974e-01, 2.5206732178000585e-01, 5.6043653192571530e-01 , 2.7363692135849171e-01
 12.0,  -6.2194094785153820e-01, 3.0669118571636828e-01, -3.8946559771843769e-01,	 3.2840218710110841e-01
-12.0,  -6.2194094785153820e-01, 3.0669118571636828e-01, 3.8946559771843769e-01 , 3.2840218710110841e-01
 13.0,  -6.9456305412472785e-01, 3.7613740563538622e-01, -2.4635617045306030e-01,	 3.9490134428672291e-01
-13.0,  -6.9456305412472785e-01, 3.7613740563538622e-01, 2.4635617045306030e-01 , 3.9490134428672291e-01
 14.0,  -7.0553623252885445e-01, 4.6253924935286417e-01, -1.1393284126730945e-02,	 4.7695559998540249e-01
-14.0,  -7.0553623252885445e-01, 4.6253924935286417e-01, 1.1393284126730945e-02 , 4.7695559998540249e-01
 15.0,  -7.5697051395469694e-01, 5.7411419450375600e-01, 2.2904538893029164e-01 , 5.8010397533219815e-01
-15.0,  -7.5697051395469694e-01, 5.7411419450375600e-01, -2.2904538893029164e-01,	 5.8010397533219815e-01
