--------------------------------------------------------
   VMC computations of nucleon momentum distributions
   (see "comments" below for references)
--------------------------------------------------------

   Z= 1  A= 2
   k    ........ 2H ........
          rho       error
  ****  *********  **********
  0.05  0.11795E+02
  0.10  0.91002E+01
  0.15  0.62667E+01
  0.20  0.40622E+01
  0.25  0.25749E+01
  0.30  0.16330E+01
  0.35  0.10483E+01
  0.40  0.68467E+00
  0.45  0.45568E+00
  0.50  0.30892E+00
  0.55  0.21315E+00
  0.60  0.14945E+00
  0.65  0.10635E+00
  0.70  0.76714E-01
  0.75  0.56017E-01
  0.80  0.41375E-01
  0.85  0.30881E-01
  0.90  0.23276E-01
  0.95  0.17709E-01
  1.00  0.13592E-01
  1.05  0.10523E-01
  1.10  0.82162E-02
  1.15  0.64683E-02
  1.20  0.51354E-02
  1.25  0.41112E-02
  1.30  0.33197E-02
  1.35  0.27037E-02
  1.40  0.22214E-02
  1.45  0.18415E-02
  1.50  0.15402E-02
  1.55  0.12998E-02
  1.60  0.11066E-02
  1.65  0.95023E-03
  1.70  0.82291E-03
  1.75  0.71834E-03
  1.80  0.63185E-03
  1.85  0.55970E-03
  1.90  0.49904E-03
  1.95  0.44762E-03
  2.00  0.40364E-03
  2.05  0.36573E-03
  2.10  0.33278E-03
  2.15  0.30392E-03
  2.20  0.27843E-03
  2.25  0.25579E-03
  2.30  0.23553E-03
  2.35  0.21728E-03
  2.40  0.20078E-03
  2.45  0.18576E-03
  2.50  0.17206E-03
  2.55  0.15948E-03
  2.60  0.14792E-03
  2.65  0.13726E-03
  2.70  0.12740E-03
  2.75  0.11827E-03
  2.80  0.10980E-03
  2.85  0.10192E-03
  2.90  0.94613E-04
  2.95  0.87799E-04
  3.00  0.81461E-04
  3.05  0.75556E-04
  3.10  0.70056E-04
  3.15  0.64930E-04
  3.20  0.60150E-04
  3.25  0.55702E-04
  3.30  0.51556E-04
  3.35  0.47694E-04
  3.40  0.44101E-04
  3.45  0.40753E-04
  3.50  0.37642E-04
  3.55  0.34747E-04
  3.60  0.32056E-04
  3.65  0.29557E-04
  3.70  0.27234E-04
  3.75  0.25082E-04
  3.80  0.23083E-04
  3.85  0.21229E-04
  3.90  0.19513E-04
  3.95  0.17922E-04
  4.00  0.16452E-04
  4.05  0.15091E-04
  4.10  0.13833E-04
  4.15  0.12672E-04
  4.20  0.11599E-04
  4.25  0.10609E-04
  4.30  0.96969E-05
  4.35  0.88560E-05
  4.40  0.80827E-05
  4.45  0.73699E-05
  4.50  0.67156E-05
  4.55  0.61140E-05
  4.60  0.55612E-05
  4.65  0.50549E-05
  4.70  0.45897E-05
  4.75  0.41644E-05
  4.80  0.37748E-05
  4.85  0.34181E-05
  4.90  0.30927E-05
  4.95  0.27949E-05
  5.00  0.25235E-05
  5.05  0.22761E-05
  5.10  0.20504E-05
  5.15  0.18456E-05
  5.20  0.16588E-05
  5.25  0.14894E-05
  5.30  0.13356E-05
  5.35  0.11961E-05
  5.40  0.10700E-05
  5.45  0.95554E-06
  5.50  0.85236E-06
  5.55  0.75919E-06
  5.60  0.67498E-06
  5.65  0.59941E-06
  5.70  0.53119E-06
  5.75  0.47004E-06
  5.80  0.41518E-06
  5.85  0.36590E-06
  5.90  0.32199E-06
  5.95  0.28260E-06
  6.00  0.24756E-06
  6.05  0.21636E-06
  6.10  0.18854E-06
  6.15  0.16399E-06
  6.20  0.14213E-06
  6.25  0.12286E-06
  6.30  0.10588E-06
  6.35  0.90877E-07
  6.40  0.77788E-07
  6.45  0.66256E-07
  6.50  0.56222E-07
  6.55  0.47496E-07
  6.60  0.39881E-07
  6.65  0.33348E-07
  6.70  0.27677E-07
  6.75  0.22830E-07
  6.80  0.18698E-07
  6.85  0.15161E-07
  6.90  0.12203E-07
  6.95  0.96979E-08
  7.00  0.76182E-08
  7.05  0.59059E-08
  7.10  0.44909E-08
  7.15  0.33630E-08
  7.20  0.24539E-08
  7.25  0.17466E-08
  7.30  0.12099E-08
  7.35  0.80739E-09
  7.40  0.53002E-09
  7.45  0.34613E-09
  7.50  0.24387E-09
  7.55  0.20735E-09
  7.60  0.22154E-09
  7.65  0.27659E-09
  7.70  0.36252E-09
  7.75  0.47089E-09
  7.80  0.59337E-09
  7.85  0.72810E-09
  7.90  0.86396E-09
  7.95  0.10030E-08
