 RS,Rtau,  xF   ,obs,units,  value  ,   stat ,   syst  
3.88E+01,1.20E-01,4.60E-02,M^3 dsig/dM dxF,"""nb GeV^2""",7.79E+01,5.51E+01,1.04E+01
3.88E+01,1.29E-01,4.40E-02,M^3 dsig/dM dxF,"""nb GeV^2""",1.21E+01,6.65E+00,1.09E+00
3.88E+01,1.41E-01,3.90E-02,M^3 dsig/dM dxF,"""nb GeV^2""",2.97E+01,1.78E+01,3.79E+00
3.88E+01,1.57E-01,3.60E-02,M^3 dsig/dM dxF,"""nb GeV^2""",3.97E+01,1.45E+01,3.02E+00
3.88E+01,1.67E-01,2.90E-02,M^3 dsig/dM dxF,"""nb GeV^2""",1.07E+01,3.48E+00,5.32E-01
3.88E+01,1.78E-01,1.90E-02,M^3 dsig/dM dxF,"""nb GeV^2""",7.38E+00,2.05E+00,2.75E-01
3.88E+01,1.95E-01,2.40E-02,M^3 dsig/dM dxF,"""nb GeV^2""",6.11E+00,2.53E+00,4.20E-01
3.88E+01,2.08E-01,2.80E-02,M^3 dsig/dM dxF,"""nb GeV^2""",5.45E+00,8.95E-01,1.89E-01
3.88E+01,2.18E-01,1.60E-02,M^3 dsig/dM dxF,"""nb GeV^2""",3.67E+00,4.66E-01,1.06E-01
3.88E+01,2.80E-01,4.70E-02,M^3 dsig/dM dxF,"""nb GeV^2""",8.00E+00,8.00E+00,8.83E-01
3.88E+01,1.15E-01,8.30E-02,M^3 dsig/dM dxF,"""nb GeV^2""",2.69E+01,2.78E+00,7.79E-01
3.88E+01,1.27E-01,8.00E-02,M^3 dsig/dM dxF,"""nb GeV^2""",1.55E+01,2.30E+00,7.14E-01
3.88E+01,1.40E-01,8.30E-02,M^3 dsig/dM dxF,"""nb GeV^2""",1.07E+01,2.85E+00,1.04E+00
3.88E+01,1.54E-01,8.30E-02,M^3 dsig/dM dxF,"""nb GeV^2""",1.25E+01,2.61E+00,7.80E-01
3.88E+01,1.67E-01,7.80E-02,M^3 dsig/dM dxF,"""nb GeV^2""",6.42E+00,1.83E+00,4.86E-01
3.88E+01,1.79E-01,7.60E-02,M^3 dsig/dM dxF,"""nb GeV^2""",6.18E+00,2.10E+00,2.31E-01
3.88E+01,1.94E-01,8.00E-02,M^3 dsig/dM dxF,"""nb GeV^2""",6.65E+00,1.97E+00,4.72E-01
3.88E+01,2.05E-01,7.80E-02,M^3 dsig/dM dxF,"""nb GeV^2""",4.21E+00,5.48E-01,2.25E-01
3.88E+01,2.18E-01,7.70E-02,M^3 dsig/dM dxF,"""nb GeV^2""",3.74E+00,4.87E-01,1.76E-01
3.88E+01,2.88E-01,8.10E-02,M^3 dsig/dM dxF,"""nb GeV^2""",3.50E+00,1.53E+00,7.75E-02
3.88E+01,1.14E-01,1.29E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.39E+01,1.41E+00,5.43E-01
3.88E+01,1.27E-01,1.27E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.62E+01,1.29E+00,4.27E-01
3.88E+01,1.40E-01,1.30E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.57E+01,1.61E+00,5.94E-01
3.88E+01,1.54E-01,1.28E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.29E+01,1.48E+00,3.67E-01
3.88E+01,1.66E-01,1.30E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.02E+01,1.24E+00,3.00E-01
3.88E+01,1.80E-01,1.30E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.00E+00,1.07E+00,3.11E-01
3.88E+01,1.93E-01,1.28E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.16E+00,4.90E-01,1.88E-01
3.88E+01,2.05E-01,1.27E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.65E+00,3.74E-01,1.50E-01
3.88E+01,2.18E-01,1.27E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.17E+00,2.66E-01,9.68E-02
3.88E+01,2.90E-01,1.29E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.39E+00,3.50E-01,5.94E-02
3.88E+01,1.14E-01,1.77E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.98E+01,9.97E-01,1.25E+00
3.88E+01,1.28E-01,1.77E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.49E+01,7.42E-01,2.63E-01
3.88E+01,1.40E-01,1.77E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.24E+01,1.02E+00,2.79E-01
3.88E+01,1.53E-01,1.78E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.23E+00,8.12E-01,2.05E-01
3.88E+01,1.67E-01,1.79E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.28E+00,8.94E-01,3.13E-01
